2019-05-21 12:11:24 DEBUG Namespace:51 - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
2019-05-21 12:11:24 INFO  EnversServiceImpl:90 - Envers integration enabled? : true
2019-05-21 12:11:24 DEBUG BasicTypeRegistry:156 - Adding type registration org.hibernate.envers.internal.entities.RevisionTypeType -> org.hibernate.type.CustomType@245e7857
2019-05-21 12:11:24 DEBUG TypeConfiguration$Scope:152 - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@12605faa] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@2a8648b5]
2019-05-21 12:11:25 DEBUG AnnotationBinder:557 - Binding entity from annotated class: com.shop.model.User
2019-05-21 12:11:25 DEBUG Ejb3Column:213 - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
2019-05-21 12:11:25 DEBUG EntityBinder:430 - Import with entity name User
2019-05-21 12:11:25 DEBUG EntityBinder:873 - Bind entity com.shop.model.User on table users
2019-05-21 12:11:25 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(users), mappingColumn=user_id, insertable=true, updatable=true, unique=false}
2019-05-21 12:11:25 DEBUG PropertyBinder:175 - MetadataSourceProcessor property userId with lazy=false
2019-05-21 12:11:25 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [com.shop.model.User:userId]
2019-05-21 12:11:25 DEBUG SimpleValueBinder:411 - building SimpleValue for userId
2019-05-21 12:11:25 DEBUG PropertyBinder:266 - Building property userId
2019-05-21 12:11:25 DEBUG BinderHelper:644 - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(user_id)]), userId, identity, , ...)
2019-05-21 12:11:25 DEBUG Ejb3Column:213 - Binding column: Ejb3JoinColumn{logicalColumnName='cart_id', referencedColumn='', mappedBy=''}
2019-05-21 12:11:25 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(users), mappingColumn=cart, insertable=true, updatable=true, unique=false}
2019-05-21 12:11:25 DEBUG PropertyBinder:266 - Building property cart
2019-05-21 12:11:25 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(users), mappingColumn=email, insertable=true, updatable=true, unique=false}
2019-05-21 12:11:25 DEBUG PropertyBinder:175 - MetadataSourceProcessor property email with lazy=false
2019-05-21 12:11:25 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [com.shop.model.User:email]
2019-05-21 12:11:25 DEBUG SimpleValueBinder:411 - building SimpleValue for email
2019-05-21 12:11:25 DEBUG PropertyBinder:266 - Building property email
2019-05-21 12:11:25 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(users), mappingColumn=first_name, insertable=true, updatable=true, unique=false}
